3|0|0|150|150|150|269|302|98|199.9225|20|3.4589
3|0|1|269|302|98|1069|557|226|849.358|50|4.1689
3|0|2|1069|557|226|1861|1822|77|1499.8967|80|4.3037
3|1|0|150|150|150|948|437|204|849.7582|20|5.4425
3|1|1|948|437|204|1689|1741|213|1499.8593|50|4.9541
3|1|2|1689|1741|213|1786|1852|78|199.8875|80|1.8068
3|2|0|150|150|150|1626|400|246|1500.0973|20|6.248
3|2|1|1626|400|246|1826|401|248|200.0125|50|2.322
3|2|2|1826|401|248|1842|1238|102|849.7888|80|3.5388
3|3|0|150|150|150|335|201|93|200.1874|20|3.4607
3|3|1|335|201|93|1165|377|139|849.7011|50|4.1694
3|3|2|1165|377|139|1534|1827|248|1500.1807|80|4.3039
3|4|0|150|150|150|155|1000|144|850.0359|20|5.443
3|4|1|155|1000|144|1653|1067|103|1500.058|50|4.9543
3|4|2|1653|1067|103|1778|1223|110|200.025|80|1.8075
3|5|0|150|150|150|1124|1287|59|1499.9087|20|6.2478
3|5|1|1124|1287|59|1240|1288|222|200.065|50|2.3223
3|5|2|1240|1288|222|1881|1833|101|850.0276|80|3.5392
3|6|0|150|150|150|166|349|151|199.6447|20|3.4571
3|6|1|166|349|151|807|904|91|850.0035|50|4.1699
3|6|2|807|904|91|1917|1905|213|1499.6616|80|4.3035
3|7|0|150|150|150|211|992|251|850.227|20|5.4433
3|7|1|211|992|251|1482|1762|46|1500.122|50|4.9543
3|7|2|1482|1762|46|1619|1854|159|200.005|80|1.8074
3|8|0|150|150|150|680|1553|153|1499.7726|20|6.2477
3|8|1|680|1553|153|823|1679|92|200.115|50|2.3226
3|8|2|823|1679|92|1666|1693|200|850.0053|80|3.5392
